team,gameweek,week_start,avg_score,avg_score_pct,n_articles,n_relevant
Kayserispor,2025-W40,2025-09-29,1.5,37.5,2,1
Kayserispor,2025-W41,2025-10-06,0.84,21.0,25,9
Kayserispor,2025-W42,2025-10-13,0.286,7.1,7,1
Kayserispor,2025-W43,2025-10-20,0.0,0.0,1,0
Kayserispor,2025-W48,2025-11-24,3.083,77.1,12,10
Kayserispor,2025-W49,2025-12-01,0.0,0.0,1,0
Kayserispor,2026-W03,2026-01-12,0.0,0.0,3,0
Kayserispor,2026-W04,2026-01-19,0.0,0.0,3,0
Kayserispor,2026-W05,2026-01-26,1.75,43.8,4,2
Kayserispor,2026-W06,2026-02-02,4.0,100.0,1,1
Kayserispor,2026-W07,2026-02-09,2.458,61.5,24,22
Kayserispor,2026-W08,2026-02-16,0.0,0.0,2,0
Kayserispor,2026-W09,2026-02-23,0.919,23.0,37,14
Kayserispor,2026-W10,2026-03-02,0.0,0.0,2,0
Kayserispor,2026-W11,2026-03-09,0.0,0.0,4,0
Kayserispor,2026-W12,2026-03-16,0.0,0.0,2,0
Kayserispor,2026-W14,2026-03-30,0.0,0.0,3,0
Kayserispor,2026-W15,2026-04-06,0.667,16.7,3,1
Kayserispor,2026-W16,2026-04-13,4.0,100.0,1,1
Kayserispor,2026-W17,2026-04-20,1.0,25.0,2,1
Kocaelispor,2025-W34,2025-08-18,0.0,0.0,1,0
Kocaelispor,2025-W35,2025-08-25,0.0,0.0,2,1
Kocaelispor,2025-W38,2025-09-15,1.0,25.0,1,1
Kocaelispor,2025-W39,2025-09-22,0.0,0.0,1,0
Kocaelispor,2025-W40,2025-09-29,0.0,0.0,1,0
Kocaelispor,2025-W41,2025-10-06,2.0,50.0,2,1
Kocaelispor,2025-W42,2025-10-13,0.75,18.8,4,1
Kocaelispor,2025-W44,2025-10-27,0.0,0.0,1,0
Kocaelispor,2025-W45,2025-11-03,1.6,40.0,5,3
Kocaelispor,2025-W47,2025-11-17,0.0,0.0,3,0
Kocaelispor,2025-W48,2025-11-24,0.0,0.0,1,1
Kocaelispor,2025-W49,2025-12-01,1.333,33.3,3,1
Kocaelispor,2025-W50,2025-12-08,0.0,0.0,1,0
Kocaelispor,2025-W51,2025-12-15,0.0,0.0,3,0
Kocaelispor,2025-W52,2025-12-22,0.0,0.0,2,0
Kocaelispor,2026-W01,2025-12-29,0.0,0.0,2,0
Kocaelispor,2026-W03,2026-01-12,0.0,0.0,1,0
Kocaelispor,2026-W04,2026-01-19,0.0,0.0,2,0
Kocaelispor,2026-W05,2026-01-26,0.0,0.0,4,0
Kocaelispor,2026-W06,2026-02-02,0.0,0.0,3,0
Kocaelispor,2026-W07,2026-02-09,0.0,0.0,5,0
Kocaelispor,2026-W08,2026-02-16,0.0,0.0,1,0
Kocaelispor,2026-W09,2026-02-23,0.0,0.0,5,0
Kocaelispor,2026-W10,2026-03-02,1.5,37.5,2,1
Kocaelispor,2026-W11,2026-03-09,0.333,8.3,9,1
Kocaelispor,2026-W12,2026-03-16,0.0,0.0,1,0
Kocaelispor,2026-W13,2026-03-23,0.0,0.0,1,0
