season,match_date,team,opponent,gf,ga,FTR,home,goal_diff,points,match_n,trainer_id,manager_name,event_time,change_index,manager_out,fire_date,post,match_week_monday,prev_week_monday,exp_lag1,nationality,age_at_appointment
2021-2022,2022-01-10,Ad. Demirspor,Fenerbahce,2.0,1.0,A,0,1.0,3,20,11795,Vincenzo Montella,16.0,5,Samet Aybaba,2021-08-29,1.0,2022-01-10,2022-01-03,,Italy,47.2
2021-2022,2022-01-15,Ad. Demirspor,Kayserispor,1.0,1.0,D,1,0.0,1,21,11795,Vincenzo Montella,17.0,5,Samet Aybaba,2021-08-29,1.0,2022-01-10,2022-01-03,,Italy,47.2
2021-2022,2022-01-18,Ad. Demirspor,Konyaspor,0.0,1.0,H,0,-1.0,0,22,11795,Vincenzo Montella,18.0,5,Samet Aybaba,2021-08-29,1.0,2022-01-17,2022-01-10,,Italy,47.2
2021-2022,2022-01-22,Ad. Demirspor,Karagumruk,5.0,0.0,H,1,5.0,3,23,11795,Vincenzo Montella,19.0,5,Samet Aybaba,2021-08-29,1.0,2022-01-17,2022-01-10,,Italy,47.2
2021-2022,2022-02-06,Ad. Demirspor,Rizespor,3.0,1.0,A,0,2.0,3,24,11795,Vincenzo Montella,20.0,5,Samet Aybaba,2021-08-29,1.0,2022-01-31,2022-01-24,,Italy,47.2
2021-2022,2022-02-14,Ad. Demirspor,Besiktas,1.0,1.0,D,1,0.0,1,25,11795,Vincenzo Montella,21.0,5,Samet Aybaba,2021-08-29,1.0,2022-02-14,2022-02-07,,Italy,47.2
2021-2022,2022-02-20,Ad. Demirspor,Gaziantep,3.0,0.0,A,0,3.0,3,26,11795,Vincenzo Montella,22.0,5,Samet Aybaba,2021-08-29,1.0,2022-02-14,2022-02-07,,Italy,47.2
2021-2022,2022-02-25,Ad. Demirspor,Antalyaspor,0.0,0.0,D,1,0.0,1,27,11795,Vincenzo Montella,23.0,5,Samet Aybaba,2021-08-29,1.0,2022-02-21,2022-02-14,,Italy,47.2
2021-2022,2022-03-04,Ad. Demirspor,Yeni Malatyaspor,0.0,1.0,H,0,-1.0,0,28,11795,Vincenzo Montella,24.0,5,Samet Aybaba,2021-08-29,1.0,2022-02-28,2022-02-21,,Italy,47.2
2021-2022,2022-03-13,Ad. Demirspor,Sivasspor,2.0,3.0,A,1,-1.0,0,29,11795,Vincenzo Montella,25.0,5,Samet Aybaba,2021-08-29,1.0,2022-03-07,2022-02-28,,Italy,47.2
2021-2022,2022-03-19,Ad. Demirspor,Buyuksehyr,2.0,1.0,H,1,1.0,3,30,11795,Vincenzo Montella,26.0,5,Samet Aybaba,2021-08-29,1.0,2022-03-14,2022-03-07,,Italy,47.2
2021-2022,2022-04-04,Ad. Demirspor,Hatayspor,0.0,0.0,D,0,0.0,1,31,11795,Vincenzo Montella,27.0,5,Samet Aybaba,2021-08-29,1.0,2022-04-04,2022-03-28,,Italy,47.2
