trainer_id,trainer_slug,manager,nationality,date_of_birth,place_of_birth,citizenship
28543,ljubisa-spajic,Ljubisa Spajic,Serbia,1926-03-07,Belgrad,Serbia
28546,ernst-melchior,Ernst Melchior,Austria,1920-06-26,Villach,Austria
31013,andras-kuttik,András Kuttik,Hungary,1896-05-23,Budapest,Hungary
12545,sandro-puppo,Sandro Puppo,Italy,1918-01-28,Piacenza,Italy
108851,huseyin-saygun,Hüseyin Saygun,Türkiye,1918-10-16,Istanbul,Türkiye
28541,jozsef-meszaros,József Mészáros,Hungary,1923-01-16,Pesterzsébet,Hungary
32056,cihat-arman,Cihat Arman,Türkiye,1915-07-16,Istanbul,Türkiye
93101,eric-keen,Eric Keen,England,1910-10-04,Newcastle upon Tyne,England
45374,giuseppe-meazza,Giuseppe Meazza,Italy,1910-08-23,Milano,Italy
155418,charlie-slade,Charlie Slade,England,1891-01-29,Bristol,England
117564,burhan-eser,Burhan Eşer,Türkiye,1985-01-01,Diyarbakir,Türkiye
132844,serdar-ozdemir,Serdar Özdemir,Türkiye,1990-11-26,Kayseri,Türkiye
72485,volkan-demirel,Volkan Demirel,Türkiye,1981-10-27,Istanbul,Türkiye
30876,tahsin-tam,Tahsin Tam,Türkiye,1969-09-15,Bursa,Türkiye
36942,tarik-dasgun,Tarık Daşgün,Türkiye,1973-08-26,Ankara,Türkiye
47476,necati-erkmen,Necati Erkmen,Türkiye,1966-11-05,Yozgat,Türkiye
53280,ali-merdin,Ali Merdin,Türkiye,1978-04-19,Istanbul,Türkiye
151880,fatih-parmaksiz,Fatih Parmaksız,Türkiye,1961-10-21,Ankara,Türkiye
16202,ali-haldun-girginer,Ali Haldun Girginer,Türkiye,1952-10-27,Eskisehir,Türkiye
119948,serkan-baziya,Serkan Baziya,Türkiye,1983-05-07,Izmir,Türkiye
34844,nedim-akgul,Nedim Akgül,Türkiye,1973-03-29,Izmir,Türkiye
52372,tolga-dogantez,Tolga Doğantez,Türkiye,1975-02-22,Izmir,Türkiye
42586,algun-erdem,Algun Erdem,Türkiye,1973-08-02,Tunceli,Türkiye
60133,yuksel-kepoglu,Yüksel Kepoğlu,Türkiye,1968-07-04,Istanbul,Türkiye
58605,aytekin-sumbul,Aytekin Sümbül,Türkiye,1971-10-03,Izmir,Türkiye
5198,mehmet-bulut,Mehmet Bulut,Türkiye,1958-02-05,Kayseri,Türkiye
10827,ahmet-yildirim,Ahmet Yıldırım,Türkiye,1974-02-25,Amasya,Türkiye
36673,fatih-uygun,Fatih Uygun,Türkiye,1979-10-30,Canakkale,Türkiye
38175,ilker-seven,İlker Seven,Türkiye,1967-03-11,Izmir,Türkiye
2849,suat-kaya,Suat Kaya,Türkiye,1967-08-26,Istanbul,Türkiye
